id_bolide,date_heure,Latitude ,Longitude,Vitesse (km/s),Énergie totale rayonnée (J) ,
329,2007-05-04 17:52:39,22.9N,109.4E,,17.5e10,22.9N 109.4E
330,2007-04-18 12:44:23,83.7S,171.2W,24.4,11.2e10,83.7S 171.2W
331,2007-04-16 14:56:51,,,,2.4e10, 
332,2007-03-17 06:48:35,7.1N,4.1E,14.5,4.0e10,7.1N 4.1E
333,2007-03-15 02:20:15,44.1S,148.4W,,2.5e10,44.1S 148.4W
334,2007-03-07 15:16:49,,,,2.7e10, 
335,2007-02-02 12:48:41,24.0N,37.2W,,34.0e10,24.0N 37.2W
336,2007-01-26 22:22:21,3.7N,99.7E,,14.7e10,3.7N 99.7E
337,2007-01-22 07:24:56,45.4N,53.5E,13.4,7.6e10,45.4N 53.5E
338,2007-01-18 13:51:10,5.3N,164.3W,,3.2e10,5.3N 164.3W
339,2007-01-17 09:50:46,8.7S,50.8E,,54.8e10,8.7S 50.8E
340,2007-01-01 11:43:29,44.4N,116.5E,,3.6e10,44.4N 116.5E
341,2006-12-09 06:31:12,26.2N,26.0E,15.9,741.0e10,26.2N 26.0E
342,2006-12-07 11:42:00,14.0N,140.0W,,2.1e10,14.0N 140.0W
343,2006-12-01 06:09:25,13.0S,30.7E,,6.3e10,13.0S 30.7E
344,2006-11-13 15:16:34,44.0S,43.3E,,2.3e10,44.0S 43.3E
345,2006-10-24 08:42:52,1.9S,2.7W,,22.5e10,1.9S 2.7W
346,2006-10-14 18:10:49,49.4N,175.0W,23.9,25.8e10,49.4N 175.0W
347,2006-10-09 04:45:30,47.0S,78.9E,,4.1e10,47.0S 78.9E
348,2006-10-07 12:18:53,23.0S,61.8W,,4.1e10,23.0S 61.8W
349,2006-10-02 19:10:27,14.0N,53.1E,,9.0e10,14.0N 53.1E
350,2006-09-27 08:33:43,32.0S,60.2E,,10.7e10,32.0S 60.2E
351,2006-09-23 18:52:58,29.0S,108.0W,,12.1e10,29.0S 108.0W
352,2006-09-02 17:57:58,,,,2.2e10, 
353,2006-09-02 04:26:15,14.0S,109.1E,14.2,123.0e10,14.0S 109.1E
354,2006-08-29 01:38:36,44.0S,162.0W,,9.2e10,44.0S 162.0W
355,2006-08-18 00:03:18,43.0S,33.4E,,3.2e10,43.0S 33.4E
356,2006-08-17 10:43:34,11.0S,165.7E,,25.6e10,11.0S 165.7E
357,2006-08-15 10:52:24,4.9N,49.6E,,4.7e10,4.9N 49.6E
358,2006-08-09 04:30:44,23.1S,53.7E,,102.0e10,23.1S 53.7E
359,2006-07-15 23:55:45,78.3S,5.0W,12.4,8.5e10,78.3S 5.0W
360,2006-07-15 15:22:49,31.1N,45.6E,30.2,16.3e10,31.1N 45.6E
361,2006-06-07 00:06:28,69.2N,22.5E,19.6,5.9e10,69.2N 22.5E
362,2006-05-28 01:32:24,,,,2.6e10, 
363,2006-05-21 07:51:11,11.6S,25.5W,,26.3e10,11.6S 25.5W
364,2006-05-07 17:45:14,,,,3.0e10, 
365,2006-05-06 15:39:06,60.2S,152.3W,,12.8e10,60.2S 152.3W
366,2006-04-25 18:46:53,,,,2.0e10, 
367,2006-04-08 13:16:23,17.3N,113.2W,,12.7e10,17.3N 113.2W
368,2006-04-04 11:30:08,26.6N,26.6W,,240.0e10,26.6N 26.6W
369,2006-03-14 03:21:06,7.0N,64.6W,,14.4e10,7.0N 64.6W
370,2006-02-26 07:30:06,,,,7.0e10, 
371,2006-02-06 01:57:37,54.5S,18.1E,,119.0e10,54.5S 18.1E
372,2006-02-04 08:38:05,36.9N,143.6W,19.8,10.0e10,36.9N 143.6W
373,2006-01-28 03:33:48,51.7S,56.4E,18.7,74.0e10,51.7S 56.4E
374,2006-01-27 01:27:42,58.7N,74.7E,,4.5e10,58.7N 74.7E
375,2006-01-26 00:00:53,79.8S,111.0W,,5.3e10,79.8S 111.0W
376,2006-01-10 23:25:28,29.8N,12.7W,16.9,2.8e10,29.8N 12.7W
377,2006-01-08 05:20:19,7.6N,28.2W,,9.4e10,7.6N 28.2W
378,2005-12-29 10:05:35,3.0S,154.9W,20.7,19.0e10,3.0S 154.9W
379,2005-12-24 15:30:26,54.0S,17.3E,,18.1e10,54.0S 17.3E
380,2005-12-03 12:45:49,33.8S,117.4E,17.0,8.8e10,33.8S 117.4E
381,2005-12-01 10:40:20,6.4S,155.8W,,3.2e10,6.4S 155.8W
382,2005-11-29 07:33:16,7.6N,58.2W,,3.2e10,7.6N 58.2W
383,2005-11-15 05:19:07,26.3N,113.4W,,2.5e10,26.3N 113.4W
384,2005-11-11 20:34:23,21.4N,134.1W,,4.2e10,21.4N 134.1W
385,2005-11-09 07:33:08,31.0S,145.9E,13.8,7.3e10,31.0S 145.9E
386,2005-11-02 07:04:32,33.9N,154.9W,,3.2e10,33.9N 154.9W
387,2005-11-02 05:16:47,22.9N,123.8W,,6.7e10,22.9N 123.8W
388,2005-10-26 21:30:47,36.3S,80.5W,,13.8e10,36.3S 80.5W
389,2005-09-30 19:04:06,2.8S,84.1W,,2.2e10,2.8S 84.1W
390,2005-09-14 01:08:52,11.6N,27.3E,,2.5e10,11.6N 27.3E
391,2005-09-02 07:59:47,13.5N,73.1E,,8.2e10,13.5N 73.1E
392,2005-08-20 12:10:24,,,,2.7e10, 
393,2005-08-09 14:35:45,21.5S,56.2E,16.9,2.5e10,21.5S 56.2E
394,2005-07-01 22:36:15,49.8S,33.1E,,3.1e10,49.8S 33.1E
395,2005-06-18 19:40:41,47.9N,85.6E,,2.3e10,47.9N 85.6E
396,2005-06-05 01:56:09,34.8N,90.9E,,4.1e10,34.8N 90.9E
397,2005-06-03 08:15:41,31.0S,90.3W,26.2,8.2e10,31.0S 90.3W
398,2005-05-27 14:12:13,48.9S,145.1E,,2.0e10,48.9S 145.1E
399,2005-05-14 13:02:53,,,,12.9e10, 
400,2005-05-07 09:31:44,75.8S,163.7E,16.6,2.6e10,75.8S 163.7E
401,2005-05-02 20:10:36,17.7N,36.0E,,4.6e10,17.7N 36.0E
402,2005-04-22 11:18:05,20.9N,36.7W,,2.2e10,20.9N 36.7W
403,2005-04-19 07:37:47,50.2S,146.4W,16.8,23.2e10,50.2S 146.4W
404,2005-04-16 10:40:38,,,,2.0e10, 
405,2005-04-15 06:54:59,43.8S,73.9W,,2.1e10,43.8S 73.9W
406,2005-04-14 14:05:22,4.9N,176.0W,,7.1e10,4.9N 176.0W
407,2005-04-11 05:20:29,34.2S,95.7W,,10.6e10,34.2S 95.7W
408,2005-04-06 01:30:24,42.7S,154.6E,,2.9e10,42.7S 154.6E
409,2005-04-05 17:48:07,,,,3.5e10, 
410,2005-04-03 01:45:29,1.0S,112.4E,,21.9e10,1.0S 112.4E
411,2005-04-02 22:52:25,14.1N,169.7E,,20.4e10,14.1N 169.7E
412,2005-03-31 22:15:55,42.8N,36.2W,,3.8e10,42.8N 36.2W
413,2005-03-18 16:48:32,9.7S,34.7W,,2.7e10,9.7S 34.7W
414,2005-03-12 22:16:31,,,,2.2e10, 
415,2005-03-09 15:47:36,21.4S,157.9W,,5.3e10,21.4S 157.9W
416,2005-03-09 12:49:08,14.3N,142.7E,,4.0e10,14.3N 142.7E
417,2005-03-06 17:32:51,,,,5.5e10, 
418,2005-02-17 22:52:36,48.0N,161.5W,,10.0e10,48.0N 161.5W
419,2005-01-19 01:43:14,27.5S,164.9W,,14.1e10,27.5S 164.9W
420,2005-01-02 23:09:51,21.3S,154.7E,21.5,11.9e10,21.3S 154.7E
421,2005-01-01 03:44:09,32.7N,12.4E,,45.4e10,32.7N 12.4E
422,2004-12-29 07:11:45,8.5S,171.8E,,9.0e10,8.5S 171.8E
423,2004-12-13 11:35:55,9.7S,155.3E,,3.9e10,9.7S 155.3E
424,2004-12-11 15:36:51,36.0N,104.1E,,3.0e10,36.0N 104.1E
425,2004-11-30 08:32:53,61.0N,171.0W,,18.1e10,61.0N 171.0W
426,2004-11-17 03:13:04,,,,18.6e10, 
427,2004-10-14 11:41:01,,,,9.3e10, 
428,2004-10-10 11:05:28,,,,3.0e10, 
429,2004-10-07 13:14:43,27.3S,71.5E,19.2,1.04e13,27.3S 71.5E
430,2004-10-04 04:39:52,3.7N,150.9W,,7.1e10,3.7N 150.9W
431,2004-09-28 08:57:28,0.2N,101.1W,,6.2e10,0.2N 101.1W
432,2004-09-03 12:07:22,67.7S,18.2E,,726.0e10,67.7S 18.2E
433,2004-08-22 10:01:33,51.9S,22.7E,,144.0e10,51.9S 22.7E
434,2004-07-29 12:41:45,,,,2.5e10, 
435,2004-07-25 05:29:13,,,,19.7e10, 
436,2004-07-22 03:34:31,,,,3.5e10, 
437,2004-07-16 00:11:01,,,,2.9e10, 
438,2004-07-04 16:58:04,,,,7.9e10, 
439,2004-07-03 20:47:22,,,,6.5e10, 
440,2004-06-12 07:13:56,21.7N,175.3E,,10.4e10,21.7N 175.3E
441,2004-06-11 15:41:40,,,,10.4e10, 
442,2004-06-05 20:34:10,1.3N,174.4W,19.5,181.0e10,1.3N 174.4W
443,2004-06-04 13:41:38,,,,33.9e10, 
444,2004-06-03 21:59:15,,,,4.7e10, 
445,2004-06-03 09:40:12,48.9N,120.4W,,5.4e10,48.9N 120.4W
446,2004-05-18 11:12:12,28.1S,47.4W,,39.4e10,28.1S 47.4W
447,2004-05-17 02:08:27,18.9S,28.3E,,5.5e10,18.9S 28.3E
448,2004-05-06 02:22:49,,,,4.9e10, 
449,2004-04-23 00:33:41,,,,5.6e10, 
450,2004-04-22 21:19:55,15.2S,55.1E,,13.9e10,15.2S 55.1E
451,2004-04-22 04:21:49,44.3S,83.3E,16.3,62.4e10,44.3S 83.3E
452,2004-04-06 03:24:49,12.0S,162.8E,25.6,43.3e10,12.0S 162.8E
453,2004-03-26 16:35:45,7.6S,155.1E,,2.4e10,7.6S 155.1E
454,2004-03-25 09:39:26,4.8S,21.0E,,2.1e10,4.8S 21.0E
455,2004-02-27 01:18:54,,,,6.0e10, 
456,2004-02-02 18:52:20,18.3S,52.3E,,3.0e10,18.3S 52.3E
457,2004-01-22 01:06:43,50.6S,157.8E,,23.2e10,50.6S 157.8E
458,2004-01-17 20:11:02,,,,2.8e10, 
459,2004-01-16 11:17:06,,,,9.8e10, 
460,2004-01-02 04:27:59,28.2S,3.2E,,13.4e10,28.2S 3.2E
461,2003-12-09 22:36:23,67.1S,90.8W,,64.3e10,67.1S 90.8W
462,2003-11-26 02:00:04,22.9S,22.7E,,3.5e10,22.9S 22.7E
463,2003-11-10 13:54:06,64.5S,136.2E,20.1,51.8e10,64.5S 136.2E
464,2003-11-01 14:09:30,51.4S,151.7E,,7.3e10,51.4S 151.7E
465,2003-10-16 00:47:28,,,,28.5e10, 
466,2003-10-13 14:06:59,,,,3.0e10, 
467,2003-10-07 00:23:56,,,,3.7e10, 
468,2003-09-27 12:59:02,21.0N,86.6E,18.2,215.0e10,21.0N 86.6E
469,2003-09-22 03:45:43,,,,3.3e10, 
470,2003-09-21 07:40:00,,,,2.0e10, 
471,2003-09-20 19:04:01,,,,3.0e10, 
472,2003-09-02 20:00:46,51.3N,161.0W,,38.5e10,51.3N 161.0W
473,2003-08-26 22:08:45,,,,7.2e10, 
474,2003-08-26 08:44:07,,,,24.9e10, 
475,2003-08-17 13:16:07,39.0S,34.0E,,64.7e10,39.0S 34.0E
476,2003-08-01 04:09:32,,,,2.1e10, 
477,2003-07-21 05:11:28,,,,5.8e10, 
478,2003-06-22 22:53:28,,,,2.1e10, 
479,2003-06-21 14:49:57,,,,3.8e10, 
480,2003-06-16 17:17:19,,,,6.5e10, 
481,2003-06-10 14:11:07,41.8S,122.9E,,3.2e10,41.8S 122.9E
482,2003-05-27 23:32:32,5.2N,166.2E,,6.8e10,5.2N 166.2E
483,2003-05-19 03:38:12,,,,52.1e10, 
484,2003-05-18 07:51:40,,,,2.1e10, 
485,2003-05-15 06:28:32,54.0N,80.4W,,4.3e10,54.0N 80.4W
486,2003-04-28 13:06:46,,,,2.3e10, 
487,2003-04-13 17:58:41,14.8N,64.5E,,17.5e10,14.8N 64.5E
488,2003-04-07 09:25:28,18.4S,162.6E,,2.2e10,18.4S 162.6E
489,2003-04-01 04:40:55,,,,3.1e10, 
490,2003-03-27 05:50:26,41.4N,87.7W,,14.2e10,41.4N 87.7W
491,2003-02-25 23:13:28,40.0N,116.0E,,3.3e10,40.0N 116.0E
492,2003-02-12 23:45:57,,,,7.9e10, 
493,2003-02-12 02:37:54,31.5S,107.5E,,12.0e10,31.5S 107.5E
494,2003-02-06 17:00:19,62.9S,113.9W,,19.7e10,62.9S 113.9W
495,2003-02-05 06:16:27,,,,10.3e10, 
496,2003-02-04 14:07:08,59.9S,41.0E,,13.5e10,59.9S 41.0E
497,2003-01-30 06:02:59,,,,10.7e10, 
498,2002-11-28 15:41:53,,,,4.6e10, 
499,2002-11-21 00:11:17,1.4S,154.0W,,24.0e10,1.4S 154.0W
500,2002-11-12 21:49:56,21.1S,6.8W,,4.3e10,21.1S 6.8W
501,2002-11-10 22:13:54,16.0N,166.0W,,46.0e10,16.0N 166.0W
502,2002-10-09 12:00:35,4.3S,175.9W,,4.9e10,4.3S 175.9W
503,2002-10-04 10:08:01,,,,11.7e10, 
504,2002-09-24 16:48:57,57.9N,112.9E,,86.0e10,57.9N 112.9E
505,2002-08-14 07:48:32,6.9S,126.2W,,9.0e10,6.9S 126.2W
506,2002-08-11 20:42:53,18.2S,159.4E,,151.0e10,18.2S 159.4E
507,2002-08-10 18:01:51,,,,2.5e10, 
508,2002-07-25 15:57:32,28.7S,47.0E,,23.0e10,28.7S 47.0E
509,2002-07-22 11:16:02,34.0N,106.1E,,5.3e10,34.0N 106.1E
510,2002-06-29 16:31:55,,,,15.9e10, 
511,2002-06-15 11:51:18,,,,2.9e10, 
512,2002-06-13 15:29:38,24.9S,111.4E,,19.1e10,24.9S 111.4E
513,2002-06-02 04:28:20,34.0N,21.0E,,450.0e10,34.0N 21.0E
514,2002-04-03 19:10:21,5.3S,27.1E,,18.2e10,5.3S 27.1E
515,2002-04-02 02:36:28,,,,3.2e10, 
516,2002-03-28 21:29:56,,,,2.7e10, 
517,2002-03-19 05:56:10,,,,8.3e10, 
518,2002-03-19 02:56:52,,,,5.3e10, 
519,2002-03-18 14:44:57,60.4S,120.5W,,2.0e10,60.4S 120.5W
520,2002-03-09 01:20:24,6.9N,147.3W,,24.9e10,6.9N 147.3W
521,2002-03-03 21:10:55,37.5N,154.0E,,8.2e10,37.5N 154.0E
522,2002-03-01 03:53:59,29.2N,66.8W,,3.8e10,29.2N 66.8W
523,2002-02-09 19:50:26,17.7S,138.7E,,7.0e10,17.7S 138.7E
524,2002-02-01 19:07:54,60.7N,116.6E,,7.0e10,60.7N 116.6E
525,2002-01-20 16:42:04,48.4N,165.0W,,10.4e10,48.4N 165.0W
526,2002-01-03 12:19:37,,,,12.3e10, 
527,2001-12-14 17:58:04,,,,15.1e10, 
528,2001-12-12 16:56:13,,,,9.8e10, 
529,2001-11-26 06:51:52,,,,19.2e10, 
530,2001-11-13 10:58:48,,,,31.2e10, 
531,2001-11-11 12:14:02,,,,13.0e10, 
532,2001-10-27 19:20:12,52.7N,3.8E,,3.6e10,52.7N 3.8E
533,2001-10-14 12:03:11,,,,8.9e10, 
534,2001-10-12 03:11:53,,,,6.2e10, 
535,2001-10-06 06:29:38,,,,15.8e10, 
536,2001-09-25 11:54:06,,,,4.2e10, 
537,2001-08-26 16:08:52,,,,3.8e10, 
538,2001-08-18 13:57:43,,,,4.0e10, 
539,2001-07-26 21:20:19,0.4N,84.8E,,32.6e10,0.4N 84.8E
540,2001-07-23 22:19:11,41.0N,77.0W,,124.0e10,41.0N 77.0W
541,2001-05-06 04:30:29,,,,5.0e10, 
542,2001-04-27 09:46:18,,,,13.0e10, 
543,2001-04-23 06:12:35,28.0N,133.6W,,460.0e10,28.0N 133.6W
544,2001-04-14 06:40:36,,,,2.4e10, 
545,2001-04-13 00:29:57,15.3S,162.4E,,25.1e10,15.3S 162.4E
546,2001-02-09 21:27:55,,,,10.8e10, 
547,2001-02-04 05:53:38,64.0S,97.3E,,15.1e10,64.0S 97.3E
548,2001-01-28 16:19:18,66.0N,31.3E,,10.8e10,66.0N 31.3E
549,2000-12-15 13:22:59,41.3N,95.2E,,26.2e10,41.3N 95.2E
550,2000-12-15 03:46:27,50.4N,58.9E,,2.7e10,50.4N 58.9E
551,2000-11-28 12:20:13,,,,11.9e10, 
552,2000-11-13 00:28:01,13.6S,5.8W,,6.6e10,13.6S 5.8W
553,2000-11-06 07:18:57,52.0S,22.2W,,6.9e10,52.0S 22.2W
554,2000-10-11 23:29:55,31.7S,5.5W,,8.1e10,31.7S 5.5W
555,2000-09-24 06:57:19,,,,2.7e10, 
556,2000-09-23 04:00:45,58.5S,142.6E,,2.2e10,58.5S 142.6E
557,2000-09-19 22:12:38,3.2S,133.8W,,8.9e10,3.2S 133.8W
558,2000-08-25 01:12:25,14.5N,106.1W,,138.5e10,14.5N 106.1W
559,2000-08-13 03:00:32,36.7N,127.8W,,6.5e10,36.7N 127.8W
560,2000-08-01 16:48:27,50.2S,101.9W,,18.2e10,50.2S 101.9W
561,2000-07-31 07:06:34,15.7N,138.5W,,3.8e10,15.7N 138.5W
562,2000-07-19 17:40:25,17.7S,94.1E,,10.7e10,17.7S 94.1E
563,2000-07-09 01:08:45,,,,12.1e10, 
564,2000-07-07 01:34:20,15.0N,140.7E,,6.5e10,15.0N 140.7E
565,2000-06-27 10:06:51,34.9N,36.8E,,2.7e10,34.9N 36.8E
566,2000-06-23 09:03:42,69.2N,44.0W,,2.0e10,69.2N 44.0W
567,2000-06-22 20:02:11,32.9N,159.0E,,3.0e10,32.9N 159.0E
568,2000-06-18 13:40:02,,,,13.3e10, 
569,2000-06-14 16:39:18,28.1N,107.3E,,14.5e10,28.1N 107.3E
570,2000-06-04 03:17:39,,,,19.0e10, 
571,2000-06-03 03:24:49,36.8N,74.8W,,3.0e10,36.8N 74.8W
572,2000-06-02 18:44:16,27.5S,18.9W,,3.0e10,27.5S 18.9W
573,2000-05-29 16:46:28,,,,6.0e10, 
574,2000-05-06 11:51:52,49.9N,18.4E,,2.8e10,49.9N 18.4E
575,2000-05-03 10:40:09,5.0S,73.0E,,5.9e10,5.0S 73.0E
576,2000-04-21 13:42:20,,,,8.6e10, 
577,2000-04-04 13:38:15,,,,2.3e10, 
578,2000-03-28 15:27:17,1.0N,98.3E,,6.3e10,1.0N 98.3E
579,2000-03-19 05:11:50,,,,4.9e10, 
580,2000-03-06 08:29:18,58.0N,175.0E,,96.0e10,58.0N 175.0E
581,2000-02-18 09:25:59,0.9S,109.2E,,362.0e10,0.9S 109.2E
582,2000-02-17 14:22:07,14.2N,115.9E,,2.2e10,14.2N 115.9E
583,2000-01-18 16:43:42,60.3N,134.6W,,105.0e10,60.3N 134.6W
584,2000-01-18 08:33:58,24.3N,94.9W,,3.5e10,24.3N 94.9W
585,1999-12-16 00:07:22,26.5S,11.3W,,6.7e10,26.5S 11.3W
586,1999-12-11 17:31:52,,,,27.3e10, 
587,1999-12-10 18:56:50,,,,2.8e10, 
588,1999-12-03 17:24:45,,,,4.2e10, 
589,1999-12-01 19:38:15,,,,2.3e10, 
590,1999-11-30 02:18:53,,,,4.5e10, 
591,1999-11-15 20:01:28,8.1S,75.4E,,7.4e10,8.1S 75.4E
592,1999-11-07 17:53:06,2.3S,77.4W,,8.9e10,2.3S 77.4W
593,1999-10-26 17:19:42,13.7N,70.8W,,8.6e10,13.7N 70.8W
594,1999-09-08 23:55:35,22.4N,0.2E,,2.8e10,22.4N 0.2E
595,1999-09-08 14:41:53,32.5N,104.6E,,9.0e10,32.5N 104.6E
596,1999-08-16 05:18:20,35.0N,107.2W,,3.6e10,35.0N 107.2W
597,1999-08-06 03:22:37,,,,6.8e10, 
598,1999-08-03 18:25:49,64.7S,18.8W,,35.6e10,64.7S 18.8W
599,1999-07-10 08:11:42,37.8S,39.6E,,32.6e10,37.8S 39.6E
600,1999-07-07 04:14:41,39.5S,174.4E,,14.0e10,39.5S 174.4E
601,1999-06-25 06:27:41,50.0N,121.0E,,12.4e10,50.0N 121.0E
602,1999-05-23 07:02:10,16.4S,116.3W,,2.6e10,16.4S 116.3W
603,1999-04-26 11:33:06,22.5S,6.5E,,9.2e10,22.5S 6.5E
604,1999-04-26 09:49:26,32.8S,159.1E,,3.3e10,32.8S 159.1E
605,1999-03-31 23:54:35,17.9S,22.6E,,23.4e10,17.9S 22.6E
606,1999-03-28 15:37:01,0.8N,97.6E,,30.4e10,0.8N 97.6E
607,1999-03-02 22:23:25,18.9N,50.5E,,5.9e10,18.9N 50.5E
608,1999-02-18 23:15:25,54.9S,64.6W,,15.4e10,54.9S 64.6W
609,1999-02-01 14:24:09,80.0N,154.2E,,2.8e10,80.0N 154.2E
610,1999-01-19 02:32:21,7.9N,85.8E,,2.4e10,7.9N 85.8E
611,1999-01-14 08:06:05,44.0S,129.7W,,506.0e10,44.0S 129.7W
612,1999-01-12 19:24:52,,,,4.3e10, 
613,1999-01-11 05:18:17,,,,2.4e10, 
614,1999-01-02 18:25:51,47.0N,103.0E,,3.5e10,47.0N 103.0E
615,1998-12-22 09:24:00,,,,2.7e10, 
616,1998-11-23 20:20:14,82.3N,160.1E,,2.5e10,82.3N 160.1E
617,1998-11-11 16:46:18,6.5N,156.4E,,65.6e10,6.5N 156.4E
618,1998-10-03 12:58:50,,,,3.2e10, 
619,1998-09-04 09:16:11,,,,12.8e10, 
620,1998-09-01 11:15:04,34.6N,23.6E,,2.4e10,34.6N 23.6E
621,1998-08-30 00:20:12,,,,4.1e10, 
622,1998-08-08 12:55:22,,,,2.3e10, 
623,1998-07-28 14:16:53,,,,6.3e10, 
624,1998-03-24 09:08:14,,,,2.7e10, 
625,1998-03-22 22:25:37,1.4N,26.6E,,14.0e10,1.4N 26.6E
626,1998-01-08 16:10:21,,,,6.2e10, 
627,1998-01-04 23:00:27,35.1S,33.4E,17.1,7.4e10,35.1S 33.4E
628,1997-12-28 03:58:18,23.1S,152.4E,,3.1e10,23.1S 152.4E
629,1997-12-09 08:15:55,62.7N,49.9W,,27.0e10,62.7N 49.9W
630,1997-11-07 07:46:55,57.3S,167.2E,,80.0e10,57.3S 167.2E
631,1997-10-09 18:47:15,31.8N,106.0W,,19.0e10,31.8N 106.0W
632,1997-10-01 14:26:43,46.7N,108.9E,,6.2e10,46.7N 108.9E
633,1997-09-30 12:31:18,38.1S,63.9E,,2.3e10,38.1S 63.9E
634,1997-09-05 11:41:54,31.1S,56.4E,,19.0e10,31.1S 56.4E
635,1997-08-20 17:16:43,,,,2.6e10, 
636,1997-08-15 01:05:22,,,,2.2e10, 
637,1997-07-30 03:01:51,,,,5.0e10, 
638,1997-07-04 12:22:33,15.8S,175.8W,,2.7e10,15.8S 175.8W
639,1997-05-22 08:30:15,,,,4.5e10, 
640,1997-04-27 22:34:21,16.7N,87.5E,,32.5e10,16.7N 87.5E
641,1997-02-19 04:31:35,16.3S,87.7W,,14.0e10,16.3S 87.7W
642,1997-02-15 15:23:35,35.5N,115.6E,,15.0e10,35.5N 115.6E
643,1997-02-06 18:28:34,,,,2.6e10, 
644,1997-01-28 17:49:49,,,,2.4e10, 
645,1997-01-23 10:03:27,15.0S,94.2E,,27.0e10,15.0S 94.2E
646,1997-01-22 21:13:16,32.2N,29.0E,,48.0e10,32.2N 29.0E
647,1997-01-04 06:46:39,25.7N,5.3W,,4.3e10,25.7N 5.3W
648,1997-01-03 15:08:07,,,,35.0e10, 
649,1996-12-17 04:16:18,34.1N,37.2W,,4.1e10,34.1N 37.2W
650,1996-12-10 06:09:32,,,,25.0e10, 
651,1996-12-04 17:00:34,,,,4.9e10, 
652,1996-12-01 13:19:35,,,,6.2e10, 
653,1996-11-22 10:06:17,,,,6.8e10, 
654,1996-11-08 16:02:13,,,,6.1e10, 
655,1996-10-30 12:48:19,2.1S,123.1W,,2.1e10,2.1S 123.1W
656,1996-10-28 04:46:21,27.4N,79.4W,,4.3e10,27.4N 79.4W
657,1996-10-23 08:28:06,47.3S,20.6E,,4.4e10,47.3S 20.6E
658,1996-10-19 19:01:08,29.7N,34.7W,,13.0e10,29.7N 34.7W
659,1996-10-07 17:43:44,,,,4.5e10, 
660,1996-10-05 19:21:02,49.6S,145.9E,,25.0e10,49.6S 145.9E
661,1996-08-17 15:46:08,,,,3.4e10, 
662,1996-08-15 16:07:51,,,,8.4e10, 
663,1996-08-09 18:14:56,,,,3.0e10, 
664,1996-08-07 03:16:03,,,,15.0e10, 
665,1996-08-06 04:50:32,,,,13.0e10, 
666,1996-08-05 19:27:52,,,,22.0e10, 
667,1996-08-05 15:19:30,,,,8.0e10, 
668,1996-07-17 03:16:07,31.8N,111.4E,,5.0e10,31.8N 111.4E
669,1996-07-12 14:04:45,20.7N,93.6W,,3.2e10,20.7N 93.6W
670,1996-06-25 11:22:40,,,,2.1e10, 
671,1996-05-08 01:02:05,,,,2.8e10, 
672,1996-05-01 13:19:25,,,,3.5e10, 
673,1996-03-31 00:53:57,,,,2.7e10, 
674,1996-03-30 04:03:32,31.1S,84.3W,,12.0e10,31.1S 84.3W
675,1996-03-29 20:30:54,21.5N,158.1W,,12.8e10,21.5N 158.1W
676,1996-03-25 17:00:41,,,,4.4e10, 
677,1996-03-13 08:31:01,,,,23.0e10, 
678,1996-02-16 07:03:14,,,,5.5e10, 
679,1996-02-15 02:38:05,76.0N,127.0W,,5.0e10,76.0N 127.0W
680,1996-01-18 17:10:49,,,,12.0e10, 
681,1996-01-15 13:44:23,59.8S,175.8E,,26.0e10,59.8S 175.8E
682,1995-12-27 12:55:01,,,,2.2e10, 
683,1995-12-22 13:26:29,70.2S,73.3W,,45.0e10,70.2S 73.3W
684,1995-12-09 19:54:26,2.9S,79.0W,,12.0e10,2.9S 79.0W
685,1995-11-25 05:29:31,,,,2.9e10, 
686,1995-11-13 03:10:47,,,,2.1e10, 
687,1995-10-01 02:42:01,,,,3.5e10, 
688,1995-09-09 07:38:38,,,,50.0e10, 
689,1995-08-24 21:54:35,,,,12.0e10, 
690,1995-08-17 16:39:02,,,,16.0e10, 
691,1995-08-06 04:38:09,,,,5.5e10, 
692,1995-08-05 17:14:10,11.6N,104.3W,,20.0e10,11.6N 104.3W
693,1995-07-11 18:38:41,28.5S,93.3E,,13.0e10,28.5S 93.3E
694,1995-07-09 18:20:09,0.9S,66.3E,,2.5e10,0.9S 66.3E
695,1995-07-07 17:33:37,40.2N,76.1W,,14.0e10,40.2N 76.1W
696,1995-06-09 09:28:38,,,,2.5e10, 
697,1995-04-02 12:32:38,,,,2.5e10, 
698,1995-02-16 13:05:47,16.7N,141.7W,,6.0e10,16.7N 141.7W
699,1995-01-18 10:17:26,51.5N,115.4E,,7.0e10,51.5N 115.4E
700,1995-01-10 21:08:41,,,,2.5e10, 
701,1995-01-02 20:41:38,,,,3.0e10, 
702,1994-12-18 12:45:40,,,,5.0e10, 
703,1994-12-16 09:41:03,42.2S,27.6E,,5.0e10,42.2S 27.6E
704,1994-11-03 20:01:36,6.5N,89.0E,,235.0e10,6.5N 89.0E
705,1994-11-01 06:50:46,1.5S,84.5W,,100.0e10,1.5S 84.5W
706,1994-10-27 04:21:29,,,,32.0e10, 
707,1994-10-20 00:11:21,45.2S,1.9W,,8.7e10,45.2S 1.9W
708,1994-10-08 03:24:22,,,,6.6e10, 
709,1994-09-22 04:22:17,,,,6.7e10, 
710,1994-08-15 23:16:48,,,,16.4e10, 
711,1994-06-15 00:02:26,45.0N,73.5W,,4.1e10,45.0N 73.5W
712,1994-06-03 20:48:42,,,,50.9e10, 
713,1994-05-29 09:30:58,52.8N,2.3E,,38.4e10,52.8N 2.3E
