id_bolide,date_heure,Latitude ,Longitude,Vitesse (km/s),Énergie totale rayonnée (J) ,
73,2015-05-20 10:20:41,1.0N,172.6E,,3.6e10,1.0N 172.6E
74,2015-05-18 17:13:51,32.4N,139.1E,,4.3e10,32.4N 139.1E
75,2015-05-10 07:45:01,46.3S,179.3W,12.2,14.3e10,46.3S 179.3W
76,2015-05-07 20:34:34,21.5S,29.3W,17.3,5.2e10,21.5S 29.3W
77,2015-04-30 10:21:01,48.7S,139.1E,12.9,10.5e10,48.7S 139.1E
78,2015-04-21 01:42:51,37.7N,39.6W,21.3,8.8e10,37.7N 39.6W
79,2015-04-10 01:14:27,42.8S,8.2E,,6.5e10,42.8S 8.2E
80,2015-04-08 04:06:31,25.5S,51.5E,19.2,17.3e10,25.5S 51.5E
81,2015-04-03 01:39:38,8.4N,157.9W,,4.2e10,8.4N 157.9W
82,2015-03-30 21:33:52,36.1S,5.5W,13.8,6.4e10,36.1S 5.5W
83,2015-03-18 00:04:50,5.4S,159.3E,,12.1e10,5.4S 159.3E
84,2015-03-11 06:18:59,8.0N,119.1E,19.9,7.2e10,8.0N 119.1E
85,2015-03-08 04:26:28,39.1S,118.6W,,2.0e10,39.1S 118.6W
86,2015-03-04 04:30:05,15.9S,88.1E,18.0,5.5e10,15.9S 88.1E
87,2015-02-26 22:06:24,68.0N,149.0W,21.1,18.8e10,68.0N 149.0W
88,2015-02-25 10:53:24,12.4N,122.4W,,5.8e10,12.4N 122.4W
89,2015-02-17 13:19:50,8.0S,11.2W,28.8,3.3e10,8.0S 11.2W
90,2015-01-09 17:31:47,23.3S,49.2W,,2.2e10,23.3S 49.2W
91,2015-01-09 10:41:11,2.0N,28.8E,17.5,13.9e10,2.0N 28.8E
92,2015-01-07 01:05:59,45.7N,26.9E,35.7,13.6e10,45.7N 26.9E
93,2015-01-02 13:39:19,31.1S,140.0E,18.1,2.0e10,31.1S 140.0E
94,2014-12-13 02:53:52,86.7N,162.1W,21.7,4.4e10,86.7N 162.1W
95,2014-12-12 06:48:11,33.5N,144.9E,12.0,3.3e10,33.5N 144.9E
96,2014-12-09 21:19:18,76.6N,96.3E,,7.8e10,76.6N 96.3E
97,2014-11-28 11:47:18,45.8S,172.7W,13.4,70.0e10,45.8S 172.7W
98,2014-11-27 12:12:52,18.8S,73.4W,,5.5e10,18.8S 73.4W
99,2014-11-26 23:16:51,69.5S,179.7W,25.3,11.8e10,69.5S 179.7W
100,2014-11-26 17:40:16,68.2S,24.0W,19.9,10.5e10,68.2S 24.0W
101,2014-11-04 20:13:30,43.1N,115.8E,16.0,15.6e10,43.1N 115.8E
102,2014-10-21 18:55:37,22.2N,132.9W,,3.4e10,22.2N 132.9W
103,2014-10-17 14:07:36,4.6S,66.3W,,7.2e10,4.6S 66.3W
104,2014-10-14 10:25:03,2.0S,119.2E,16.9,2.9e10,2.0S 119.2E
105,2014-10-06 20:02:15,43.7S,85.7E,,3.9e10,43.7S 85.7E
